comparison, p_value
Fraction choosing the tournament, 0.000
Probability of ranking 1st in tournament, 0.001
Probability of ranking 1st in piece-rate, 0.000
Expected rank in tournament, 0.000
Risk aversion coefficient, 0.001
Discount rate, 0.437
Trust, 0.088
Reciprocity, 0.623
Cooperation, 0.582
CRT, 0.000
Empathizing, 0.012
Self-efficacy, 0.116
Fraction religious, 0.145
Age, 0.000
Fraction non-white, 0.071
GMAT Quantitative percentile, 0.000
GMAT Verbal percentile, 0.244
GMAT Analytic percentile, 0.505
Fraction US residents, 0.884
Fraction married, 0.004
GPA, 0.003
Pre-MBA work experience, 0.000
Fraction with pre-MBA job in finance, 0.773
Fraction with pre-MBA job in consulting, 0.318
